RSSI,y_cor,x_cor
-23,0,0
-24,0,0
-24,0,0
-14,0,1
-15,0,1
-19,0,1
-15,0,2
-16,0,2
-17,0,2
-11,0,3
-11,0,3
-10,0,3
-9,0,4
-10,0,4
-12,0,4
-13,0,5
-12,0,5
-12,0,5
-21,0,6
-22,0,6
-23,0,6
-28,0,7
-28,0,7
-29,0,7
-32,0,8
-33,0,8
-34,0,8
-22,1,0
-22,1,0
-22,1,0
-16,1,1
-16,1,1
-16,1,1
-12,1,2
-12,1,2
-12,1,2
-10,1,3
-11,1,3
-12,1,3
-12,1,4
-13,1,4
-15,1,4
-15,1,5
-16,1,5
-17,1,5
-27,1,6
-28,1,6
-28,1,6
-34,1,7
-34,1,7
-35,1,7
-39,1,8
-40,1,8
-41,1,8
-24,2,0
-24,2,0
-25,2,0
-20,2,1
-21,2,1
-22,2,1
-22,2,2
-22,2,2
-23,2,2
-14,2,3
-14,2,3
-14,2,3
-16,2,4
-16,2,4
-17,2,4
-17,2,5
-18,2,5
-18,2,5
-27,2,6
-27,2,6
-34,2,6
-28,2,7
-28,2,7
-33,2,7
-34,2,8
-35,2,8
-36,2,8
-24,3,0
-24,3,0
-26,3,0
-20,3,1
-20,3,1
-21,3,1
-17,3,2
-18,3,2
-17,3,2
-16,3,3
-16,3,3
-17,3,3
-19,3,4
-20,3,4
-22,3,4
-19,3,5
-20,3,5
-23,3,5
-33,3,6
-34,3,6
-33,3,6
-27,3,7
-27,3,7
-28,3,7
-29,3,8
-30,3,8
-31,3,8
-32,4,0
-34,4,0
-36,4,0
-25,4,1
-25,4,1
-25,4,1
-24,4,2
-24,4,2
-24,4,2
-26,4,3
-28,4,3
-26,4,3
-15,4,4
-15,4,4
-17,4,4
-17,4,5
-19,4,5
-18,4,5
-21,4,6
-22,4,6
-23,4,6
-27,4,7
-30,4,7
-30,4,7
-33,4,8
-34,4,8
-35,4,8
-17,5,0
-20,5,0
-19,5,0
-29,5,1
-29,5,1
-29,5,1
-24,5,2
-24,5,2
-22,5,2
-18,5,3
-20,5,3
-23,5,3
-23,5,4
-23,5,4
-24,5,4
-20,5,5
-22,5,5
-25,5,5
-28,5,6
-29,5,6
-30,5,6
-33,5,7
-34,5,7
-36,5,7
-35,5,8
-36,5,8
-38,5,8
-18,6,0
-19,6,0
-21,6,0
-25,6,1
-25,6,1
-24,6,1
-18,6,2
-19,6,2
-22,6,2
-19,6,3
-20,6,3
-22,6,3
-22,6,4
-23,6,4
-23,6,4
-23,6,5
-23,6,5
-24,6,5
-24,6,6
-24,6,6
-23,6,6
-33,6,7
-32,6,7
-31,6,7
-31,6,8
-31,6,8
-31,6,8
-24,7,0
-24,7,0
-23,7,0
-29,7,1
-22,7,1
-22,7,1
-24,7,2
-24,7,2
-26,7,2
-22,7,3
-23,7,3
-24,7,3
-22,7,4
-23,7,4
-23,7,4
-24,7,5
-24,7,5
-26,7,5
-31,7,6
-28,7,6
-35,7,6
-35,7,7
-37,7,7
-37,7,7
-38,7,8
-39,7,8
-40,7,8
-33,8,0
-29,8,0
-31,8,0
-27,8,1
-33,8,1
-38,8,1
-25,8,2
-26,8,2
-28,8,2
-24,8,3
-26,8,3
-28,8,3
-27,8,4
-29,8,4
-27,8,4
-28,8,5
-30,8,5
-29,8,5
-34,8,6
-35,8,6
-35,8,6
-40,8,7
-38,8,7
-43,8,7
-39,8,8
-38,8,8
-41,8,8
-41,9,0
-41,9,0
-40,9,0
-27,9,1
-29,9,1
-30,9,1
-25,9,2
-25,9,2
-26,9,2
-24,9,3
-24,9,3
-25,9,3
-23,9,4
-24,9,4
-25,9,4
-26,9,5
-29,9,5
-31,9,5
-33,9,6
-34,9,6
-35,9,6
-36,9,7
-37,9,7
-41,9,7
-40,9,8
-41,9,8
-42,9,8
-43,10,0
-43,10,0
-43,10,0
-43,10,1
-43,10,1
-43,10,1
-37,10,2
-38,10,2
-40,10,2
-25,10,3
-27,10,3
-30,10,3
-28,10,4
-29,10,4
-33,10,4
-29,10,5
-29,10,5
-30,10,5
-34,10,6
-35,10,6
-36,10,6
-40,10,7
-40,10,7
-41,10,7
-41,10,8
-41,10,8
-41,10,8
-33,11,0
-34,11,0
-35,11,0
-32,11,1
-33,11,1
-33,11,1
-31,11,2
-32,11,2
-34,11,2
-28,11,3
-29,11,3
-30,11,3
-37,11,4
-40,11,4
-42,11,4
-36,11,5
-37,11,5
-38,11,5
-41,11,6
-42,11,6
-42,11,6
-42,11,7
-42,11,7
-42,11,7
-44,11,8
-44,11,8
-44,11,8
